graph,effect,value,sd,ci_lo,ci_hi
ground_truth,TV,-0.004221894943544469,,,
ground_truth,Ctf-DE,-0.05109533837436564,,,
ground_truth,Ctf-IE,0.0006091616833241442,,,
ground_truth,Ctf-SE,-0.047482605114145315,,,
PC,TV,-0.004221894943544469,,,
PC,Ctf-DE,-0.004221894943544469,,,
PC,Ctf-IE,0.0,,,
PC,Ctf-SE,0.0,,,
GES,TV,-0.004221894943544469,,,
GES,Ctf-DE,-0.049028368873771155,,,
GES,Ctf-IE,0.019967048571897683,,,
GES,Ctf-SE,-0.06477352250212437,,,
FCI,TV,-0.004221894943544469,,,
FCI,Ctf-DE,-0.04906919326199943,,,
FCI,Ctf-IE,0.02485665856467756,,,
FCI,Ctf-SE,-0.06970395688313252,,,
