graph,effect,variable,contribution,sd,ci_lo,ci_hi
ground_truth,Ctf-SE,age,0.005119260656766711,0.008032369951214126,-0.005585745395915054,0.014545496186942342
ground_truth,Ctf-SE,anaemia,0.0002107059529236066,0.0010852118757527156,-0.0007147510795823986,0.0019982707089413964
ground_truth,Ctf-SE,serum_sodium,0.0012724073122514779,0.014594705806592882,-0.010841111325985326,0.027099087801573777
ground_truth,Ctf-SE,time,0.023264119554620294,0.05095641650533042,-0.048705304382920304,0.09180502025739938
ground_truth,Ctf-IE,diabetes,0.0,0.0,0.0,0.0
ground_truth,Ctf-IE,ejection_fraction,0.0,0.0,0.0,0.0
ground_truth,Ctf-IE,high_bp,0.0,0.0,0.0,0.0
ground_truth,Ctf-IE,serum_creatinine,0.0,0.0,0.0,0.0
ground_truth,Ctf-IE,smoking,0.0,0.0,0.0,0.0
ground_truth,Ctf-DE,(direct),-0.05109533837436564,,,
PC,Ctf-SE,age,-0.006460068655139428,0.027264221821923226,-0.033932439568830984,0.034926810634273435
PC,Ctf-SE,serum_creatinine,0.04096596293618254,0.022258230017330658,0.028888300788124162,0.08731731094907974
PC,Ctf-DE,(direct),-0.004221894943544469,,,
GES,Ctf-SE,high_bp,0.0009757601967103069,0.0013207472703164332,-0.0002518158875929793,0.002720338390425614
GES,Ctf-SE,platelets,-0.0069388924637219795,0.008324783766023991,-0.009036474849122927,0.013402172333520507
GES,Ctf-SE,smoking,-0.019574476683728415,0.006570906889399356,-0.019265729466952524,-0.0007210773215611926
GES,Ctf-SE,time,0.021052522293997067,0.05864449420321696,-0.06271029938516737,0.09782301368736174
GES,Ctf-IE,ejection_fraction,0.019967048571897683,0.013093123363244058,-0.01471598069895581,0.020129881845798555
GES,Ctf-DE,(direct),-0.049028368873771155,,,
FCI,Ctf-SE,age,0.0021346352372997313,0.0038923593036968777,0.002286630114187299,0.012733081473398735
FCI,Ctf-SE,anaemia,-0.001389912406459748,0.0011616999211748929,-0.0002315294905894022,0.0028013148267327648
FCI,Ctf-SE,cpk,-0.00204407324531386,0.00621528648460528,-0.006337884587675096,0.009869991217317553
FCI,Ctf-SE,high_bp,-0.0011385183811974398,0.0008363894554733572,-0.0024167579734493292,-9.73155858455838e-05
FCI,Ctf-SE,serum_creatinine,0.00920268104582539,0.0073476210820084585,0.007776811936704803,0.026421450740700257
FCI,Ctf-SE,serum_sodium,0.0008888422144304187,0.005611753921435329,-0.005153927994754321,0.009811067479963098
FCI,Ctf-SE,time,0.019907266708776516,0.0467347189368565,-0.04479358926168215,0.08673418506119512
FCI,Ctf-IE,ejection_fraction,0.02485665856467756,0.01028312432158753,-0.010224791166390279,0.016425637168912093
FCI,Ctf-DE,(direct),-0.04906919326199943,,,
